latent_1,latent_2,latent_3,latent_4,cluster
0.0,0.0,0.98628914,0.20487472,0
0.0,0.0,0.8563374,0.13281745,1
0.0,0.0,0.95713544,0.18870923,0
0.0,0.0,1.0014205,0.213265,0
0.0,0.0,0.9170253,0.16646847,3
0.0,0.0,0.8205321,0.11296368,3
0.0,0.0,1.0156687,0.22116554,0
0.0,0.0,0.9197787,0.16799518,0
0.0,0.0,0.9081217,0.16153145,0
0.0,0.0,0.9857129,0.20455524,3
0.0,0.0,1.0142312,0.22036842,0
0.0,0.0,1.0111052,0.21863508,0
0.0,0.0,0.96233106,0.19159016,1
0.0,0.0,0.8918998,0.15253657,3
0.0,0.0,0.8901644,0.15157428,1
0.0,0.0,0.84796655,0.12817585,1
0.0,0.0,0.8577553,0.13360366,1
0.0,0.0,0.7808622,0.09096703,1
0.0,0.0,0.9445596,0.18173599,1
0.0,0.0,0.8810586,0.14652514,2
0.0,0.0,0.82650626,0.116276294,1
0.0,0.0,0.8114058,0.10790318,1
0.0,0.0,0.95682275,0.18853587,1
0.0,0.0,0.81418204,0.10944262,1
0.0,0.0,0.8269944,0.11654696,2
0.0,0.0,0.8007513,0.10199541,0
0.0,0.0,0.90132,0.15775993,1
